reaction	isozyme	gene_product	stoichiometry
SUCMALtpp	iso2	b4123	1
SUCMALtpp	iso3	b4138	1
SUCOAS	iso1	b0728	2
SUCOAS	iso1	b0729	2
SUCptspp	iso1	b2415	1
SUCptspp	iso1	b2416	1
SUCptspp	iso1	b2417	1
SUCptspp	iso1	b2429	1
SUCRtex	iso1	b0241	3
SUCRtex	iso2	b0929	3
SUCRtex	iso3	b1377	3
SUCRtex	iso4	b2215	3
SUCTARTtpp	iso1	b4123	1
SULabcpp	iso1	b0763	1
SULabcpp	iso1	b0764	2
SULabcpp	iso1	b0765	2
SULabcpp	iso2	b2422	2
SULabcpp	iso2	b2423	1
SULabcpp	iso2	b2424	1
SULabcpp	iso2	b2425	1
SULabcpp	iso3	b2422	2
SULabcpp	iso3	b2423	1
SULabcpp	iso3	b2424	1
SULabcpp	iso3	b3917	1
SULFACabcpp	iso1	b0933	2
SULFACabcpp	iso1	b0934	2
SULFACabcpp	iso1	b0936	1
SULFACtex	iso1	b0241	3
SULFACtex	iso2	b0929	3
SULFACtex	iso3	b1377	3
SULFACtex	iso4	b2215	3
SULR	iso1	b2763	4
SULR	iso1	b2764	8
T2DECAI	iso1	b0954	2
TAGURr	iso1	b1521	1
TALA	iso1	b0008	2
TALA	iso2	b2464	2
TARTD	iso1	b3061	2
TARTD	iso1	b3062	2
TARTRDtex	iso1	b0241	3
TARTRDtex	iso2	b0929	3
TARTRDtex	iso3	b1377	3
TARTRDtex	iso4	b2215	3
TARTRt7pp	iso1	b3063	1
TARTRtex	iso1	b0241	3
TARTRtex	iso2	b0929	3
TARTRtex	iso3	b1377	3
TARTRtex	iso4	b2215	3
TARTt2_3pp	iso1	b4123	1
TAUDO	iso1	b0368	2
TAURabcpp	iso1	b0365	1
TAURabcpp	iso1	b0366	2
TAURabcpp	iso1	b0367	2
TAURtex	iso1	b0241	3
TAURtex	iso2	b0929	3
TAURtex	iso3	b1377	3
TAURtex	iso4	b2215	3
TCYNTtex	iso1	b0241	3
TCYNTtex	iso2	b0929	3
TCYNTtex	iso3	b1377	3
TCYNTtex	iso4	b2215	3
TDPADGAT	iso1	b3790	2
TDPAGTA	iso1	b3791	4
TDPDRE	iso1	b2038	2
TDPDRR	iso1	b2040	2
TDPGDH	iso1	b2041	2
TDPGDH	iso2	b3788	2
TDP	iso1	b1134	1
TDSK	iso1	b0915	1
TDSR1	iso1	b2893	1
TDSR1	iso1	b4136	1
TDSR2	iso1	b0604	1
TDSR2	iso1	b4136	1
TEO2M	iso1	b1430	2
TGBPA	iso1	b2095	1
TGBPA	iso1	b2096	1
TGBPA	iso2	b3132	1
TGBPA	iso2	b3137	1
THD2pp	iso1	b1602	1
THD2pp	iso1	b1603	1
THDPS	iso1	b0166	1
THFAT	iso1	b2551	2
THIORDXi	iso1	b1710	1
THIORDXi	iso2	b2480	1
THIORDXi	iso2	b2582	1
THIORDXi	iso3	b2480	1
THIORDXi	iso3	b3781	1
THMabcpp	iso1	b0066	2
THMabcpp	iso1	b0067	2
THMabcpp	iso1	b0068	1
THMDt2pp_copy1	iso1	b2393	1
THMDt2pp_copy1	iso2	b2964	1
THMDt2pp_copy2	iso1	b2406	1
THMDtex	iso1	b0241	3
THMDtex	iso2	b0929	3
THMDtex	iso3	b1377	3
THMDtex	iso4	b2215	3
THMtex	iso1	b0241	3
THMtex	iso2	b0929	3
THMtex	iso3	b1377	3
THMtex	iso4	b2215	3
THRA2	iso1	b0870	4
THRA2	iso2	b2551	2
THRabcpp	iso1	b3454	1
THRabcpp	iso1	b3455	1
THRabcpp	iso1	b3456	1
THRabcpp	iso1	b3457	1
THRabcpp	iso1	b3460	1
THRA	iso1	b0870	4
THRA	iso2	b2551	2
THRD	iso1	b3589	1
THRD	iso2	b3616	4
THRD_L	iso1	b3117	1
THRD_L	iso2	b3772	4
THRPtex	iso1	b0241	3
THRPtex	iso2	b0929	3
THRPtex	iso3	b1377	3
THRPtex	iso4	b2215	3
THRS	iso1	b0004	1
THRt2pp	iso1	b0813	1
THRt2pp	iso2	b3823	1
THRt2rpp	iso1	b3116	1
THRt4pp	iso1	b3089	1
THRtex	iso1	b0241	3
THRtex	iso2	b0929	3
THRtex	iso3	b1377	3
THRtex	iso4	b2215	3
THYMtex	iso1	b0241	3
THYMtex	iso2	b0929	3
THYMtex	iso3	b1377	3
THYMtex	iso4	b2215	3
THZPSN3	iso1	b0423	1
THZPSN3	iso1	b2530	1
THZPSN3	iso1	b3990	1
THZPSN3	iso1	b3992	1
THZPSN3	iso1	b4407	1
TKT1	iso1	b2465	2
TKT1	iso2	b2935	2
TKT2	iso1	b2465	2
TKT2	iso2	b2935	2
TMAOR1	iso1	b0894	1
TMAOR1	iso1	b0895	1
TMAOR1	iso1	b0896	1
TMAOR1pp	iso1	b0996	1
TMAOR1pp	iso1	b0997	1
TMAOR2	iso1	b0894	1
TMAOR2	iso1	b0895	1
TMAOR2	iso1	b0896	1
TMAOR2pp	iso1	b0996	1
TMAOR2pp	iso1	b0997	1
TMAOtex	iso1	b0241	3
TMAOtex	iso2	b0929	3
TMAOtex	iso3	b1377	3
TMAOtex	iso4	b2215	3
TMAtex	iso1	b0241	3
TMAtex	iso2	b0929	3
TMAtex	iso3	b1377	3
TMAtex	iso4	b2215	3
TMDK1	iso1	b1238	4
TMDPP	iso1	b4382	2
TMDS	iso1	b2827	2
TMK	iso1	b1106	1
TMPK	iso1	b0417	1
TMPPP	iso1	b3993	1
TPI	iso1	b3919	2
TPRDCOAS	iso1	b0613	1
TRDR	iso1	b0888	1
TRDR	iso1	b2582	1
TRDR	iso2	b0888	1
TRDR	iso2	b3781	1
TRE6PH	iso1	b4239	1
TRE6PP	iso1	b1897	1
TRE6PS	iso1	b1896	4
TREH	iso1	b3519	1
TREHpp	iso1	b1197	1
TREptspp	iso1	b2415	1
TREptspp	iso1	b2416	1
TREptspp	iso1	b2417	1
TREptspp	iso1	b4240	1
TREtex	iso1	b0241	3
TREtex	iso2	b0929	3
TREtex	iso3	b1377	3
TREtex	iso4	b2215	3
TRPAS2	iso1	b3708	4
TRPS1	iso1	b1260	2
TRPS1	iso1	b1261	2
TRPS2	iso1	b1260	2
TRPS2	iso1	b1261	2
TRPS3	iso1	b1260	2
TRPS3	iso1	b1261	2
TRPt2rpp	iso1	b0112	1
TRPt2rpp	iso2	b3161	1
TRPt2rpp	iso3	b3709	1
TRPtex	iso1	b0241	3
TRPtex	iso2	b0929	3
TRPtex	iso3	b1377	3
TRPtex	iso4	b2215	3
TRPtipp	iso1	b1473	1
TRSARr	iso1	b0509	1
TRSARr	iso2	b3125	1
TSULabcpp	iso1	b2422	2
TSULabcpp	iso1	b2423	1
TSULabcpp	iso1	b2424	1
TSULabcpp	iso1	b2425	1
TSULabcpp	iso2	b2422	2
TSULabcpp	iso2	b2423	1
TSULabcpp	iso2	b2424	1
TSULabcpp	iso2	b3917	1
TSULtex	iso1	b0241	3
TSULtex	iso2	b0929	3
TSULtex	iso3	b1377	3
TSULtex	iso4	b2215	3
TTDCAtexi	iso1	b2344	1
TTDCEAtexi	iso1	b2344	1
TTRCYCtex	iso1	b0241	3
TTRCYCtex	iso2	b0929	3
TTRCYCtex	iso3	b1377	3
TTRCYCtex	iso4	b2215	3
TTRCYCtpp	iso1	b0462	3
TTRCYCtpp	iso1	b0463	6
TTRCYCtpp	iso1	b3035	3
TTRCYCtpp	iso2	b0463	6
TTRCYCtpp	iso2	b2470	3
TTRCYCtpp	iso2	b3035	3
TUNGSabcpp	iso1	b0763	1
TUNGSabcpp	iso1	b0764	2
TUNGSabcpp	iso1	b0765	2
TUNGStex	iso1	b0241	3
TUNGStex	iso2	b0929	3
TUNGStex	iso3	b1377	3
TUNGStex	iso4	b2215	3
TYMtex	iso1	b0241	3
TYMtex	iso2	b0929	3
TYMtex	iso3	b1377	3
TYMtex	iso4	b2215	3
TYRL	iso1	b3991	4
TYROXDApp	iso1	b1386	2
TYRPpp	iso1	b4055	4
TYRPtex	iso1	b0241	3
TYRPtex	iso2	b0929	3
TYRPtex	iso3	b1377	3
TYRPtex	iso4	b2215	3
TYRt2rpp	iso1	b0112	1
TYRt2rpp	iso2	b1907	1
TYRTA	iso1	b0928	2
TYRTA	iso2	b3770	6
TYRTA	iso3	b4054	2
TYRtex	iso1	b0241	3
TYRtex	iso2	b0929	3
TYRtex	iso3	b1377	3
TYRtex	iso4	b2215	3
TYRtipp	iso1	b1473	1
U23GAAT	iso1	b0179	3
UAAGDS	iso1	b0085	1
UACGALPpp	iso1	b0480	1
UACGAMPpp	iso1	b0480	1
UACGAMtex	iso1	b0241	3
UACGAMtex	iso2	b0929	3
UACGAMtex	iso3	b1377	3
UACGAMtex	iso4	b2215	3
UACMAMO	iso1	b3787	2
UAG2E	iso1	b3786	2
UAGAAT	iso1	b0181	1
UAGAAT	iso1	b1094	1
UAGCVT	iso1	b3189	1
UAGDP	iso1	b3730	3
UAGPT3	iso1	b0090	2
UAMAGS	iso1	b0088	1
UAMAS	iso1	b0091	1
UAPGR	iso1	b3972	1
UDCPDP	iso1	b0841	1
UDCPDP	iso2	b1278	1
UDCPDP	iso3	b3057	1
UDCPDPpp	iso1	b0841	1
UDCPDPpp	iso2	b1278	1
UDCPDPpp	iso3	b3057	1
UDCPDPS	iso1	b0174	2
UDPACGALtex	iso1	b0241	3
UDPACGALtex	iso2	b0929	3
UDPACGALtex	iso3	b1377	3
UDPACGALtex	iso4	b2215	3
UDPG4E	iso1	b0759	2
UDPGALM	iso1	b2036	2
UDPGALPpp	iso1	b0480	1
UDPGALtex	iso1	b0241	3
UDPGALtex	iso2	b0929	3
UDPGALtex	iso3	b1377	3
UDPGALtex	iso4	b2215	3
UDPGDC	iso1	b2255	6
UDPGD	iso1	b2028	1
UDPGLCURtex	iso1	b0241	3
UDPGLCURtex	iso2	b0929	3
UDPGLCURtex	iso3	b1377	3
UDPGLCURtex	iso4	b2215	3
UDPGPpp	iso1	b0480	1
UDPGPT	iso1	b2047	1
UDPGtex	iso1	b0241	3
UDPGtex	iso2	b0929	3
UDPGtex	iso3	b1377	3
UDPGtex	iso4	b2215	3
UDPKAAT	iso1	b2253	2
UGCIAMH	iso1	b0515	1
UGLCURPpp	iso1	b0480	1
UGLT	iso1	b0758	2
UGLYCH	iso1	b0505	2
UGMDDS	iso1	b0086	1
UHGADA	iso1	b0096	1
ULA4NFT	iso1	b2255	6
ULA4Ntppi	iso1	b2258	1
ULA4Ntppi	iso1	b4544	1
UM3PL	iso1	b4233	1
UM4PCP	iso1	b1192	1
UM4PL	iso1	b4233	1
UMPK	iso1	b0171	6
UMPK	iso2	b0910	1
UMPtex	iso1	b0241	3
UMPtex	iso2	b0929	3
UMPtex	iso3	b1377	3
UMPtex	iso4	b2215	3
UPLA4FNF	iso1	b2256	1
UPLA4FNT	iso1	b2254	1
UPP3MT	iso1	b3368	1
UPP3S	iso1	b3804	1
UPPDC1	iso1	b3997	2
UPPRT	iso1	b2498	2
URACPAH	iso1	b1011	1
URAt2pp	iso1	b1006	1
URAt2pp	iso2	b2497	1
URATEtex	iso1	b0241	3
URATEtex	iso2	b0929	3
URATEtex	iso3	b1377	3
URATEtex	iso4	b2215	3
URATEtpp	iso1	b2888	1
URAtex	iso1	b0241	3
URAtex	iso2	b0929	3
URAtex	iso3	b1377	3
URAtex	iso4	b2215	3
URDGLYCD	iso1	b0517	2
UREAtex	iso1	b0241	3
UREAtex	iso2	b0929	3
UREAtex	iso3	b1377	3
UREAtex	iso4	b2215	3
UREAtpp	iso1	b3927	4
URIH	iso1	b0030	1
URIH	iso2	b0651	1
URIH	iso3	b2162	4
URIK1	iso1	b2066	4
URIK2	iso1	b2066	4
URIt2pp_copy1	iso1	b2393	1
URIt2pp_copy1	iso2	b2964	1
URIt2pp_copy2	iso1	b2406	1
URItex	iso1	b0411	1
USHD	iso1	b0524	1
VALabcpp	iso1	b3454	1
VALabcpp	iso1	b3455	1
VALabcpp	iso1	b3456	1
VALabcpp	iso1	b3457	1
VALabcpp	iso1	b3460	1
VALt2rpp	iso1	b0401	1
VALt3pp	iso1	b2682	1
VALt3pp	iso1	b2683	1
VALt3pp	iso2	b4141	1
VALTA	iso1	b3770	6
VALtex	iso1	b0241	3
VALtex	iso2	b0929	3
VALtex	iso3	b1377	3
VALtex	iso4	b2215	3
VPAMTr	iso1	b3572	2
WCOS	iso1	b0827	2
X5PL3E	iso1	b3582	1
X5PL3E	iso2	b4197	1
XAND	iso1	b2866	1
XAND	iso1	b2867	1
XAND	iso1	b2868	1
XANt2pp	iso1	b2882	1
XANt2pp	iso2	b2888	1
XANt2pp	iso3	b3654	1
XANtex	iso1	b0241	3
XANtex	iso2	b0929	3
XANtex	iso3	b1377	3
XANtex	iso4	b2215	3
XMPtex	iso1	b0241	3
XMPtex	iso2	b0929	3
XMPtex	iso3	b1377	3
XMPtex	iso4	b2215	3
XPPT	iso1	b0238	4
XTSNH	iso1	b0030	1
XTSNt2rpp	iso1	b2406	1
XTSNtex	iso1	b0241	3
XTSNtex	iso2	b0929	3
XTSNtex	iso3	b1377	3
XTSNtex	iso4	b2215	3
XYHDL	iso1	b3656	6
XYLabcpp	iso1	b3566	1
XYLabcpp	iso1	b3567	2
XYLabcpp	iso1	b3568	2
XYLI1	iso1	b3565	4
XYLI2	iso1	b3565	4
XYLK2	iso1	b0063	1
XYLK2	iso2	b3580	2
XYLK	iso1	b0063	1
XYLK	iso2	b3564	2
XYLt2pp	iso1	b4031	1
XYLtex	iso1	b0241	3
XYLtex	iso2	b0929	3
XYLtex	iso3	b1377	3
XYLtex	iso4	b2215	3
XYLUt2pp	iso1	b3577	1
XYLUt2pp	iso1	b3578	1
XYLUt2pp	iso1	b3579	1
XYLUtex	iso1	b0241	3
XYLUtex	iso2	b0929	3
XYLUtex	iso3	b1377	3
XYLUtex	iso4	b2215	3
YUMPS	iso1	b2165	3
ZN2abcpp	iso1	b3469	1
ZN2t3pp	iso1	b0752	1
ZN2t3pp	iso2	b3915	2
Zn2tex	iso1	b0241	3
Zn2tex	iso2	b0929	3
Zn2tex	iso3	b1377	3
Zn2tex	iso4	b2215	3
ZN2tpp	iso1	b3040	1
ZNabcpp	iso1	b1857	1
ZNabcpp	iso1	b1858	2
ZNabcpp	iso1	b1859	2
